minlp_time,lp_time,misoc_time
155.47,3.18,7.21
235.05,3.13,10.41
236.35,2.78,10.14
705.01,2.97,6.96
342.48,2.8,41.68
322.16,2.91,7.08
301.78,2.86,8.19
320.54,2.64,7.85
139.66,2.83,11.28
166.34,3.28,10.05
367.27,2.97,14.81
125.92,2.7,12.34
662.01,3.15,9.94
852.99,2.79,14.63
281.77,2.93,34.66
249.45,2.68,8.3
202.78,2.98,7.96
190.34,2.93,7.48
263.75,2.78,7.59
301.55,2.82,7.26
259.61,3.09,7.0
115.31,2.85,15.85
857.26,2.77,22.82
296.72,3.02,7.11
157.06,3.28,7.96
662.64,3.24,12.15
169.86,3.17,10.55
176.78,2.93,9.53
300.42,2.72,8.02
259.23,2.67,6.72
204.85,3.22,9.05
151.21,2.94,7.13
172.11,3.01,7.87
154.13,3.35,7.74
208.54,2.84,7.84
137.99,2.84,7.96
145.91,3.1,12.6
271.95,2.66,23.38
454.91,3.31,10.28
262.71,2.71,41.62
193.75,3.31,32.97
768.77,2.43,6.79
118.96,2.76,53.25
277.97,3.15,7.29
229.55,2.97,10.44
217.82,2.7,8.11
252.7,3.25,27.24
261.87,3.36,7.76
162.57,3.1,14.77
526.77,2.86,27.39
735.9,2.96,6.94
216.67,2.97,6.64
347.42,2.81,8.08
303.4,2.89,7.65
312.14,2.78,7.53
119.8,2.79,14.05
323.46,3.18,12.8
328.74,2.75,7.62
369.46,3.31,10.84
733.44,2.71,9.22
158.81,3.03,6.79
246.8,2.78,10.24
969.09,2.71,26.07
296.12,2.67,8.68
325.93,2.99,26.08
226.19,3.12,8.17
263.42,3.06,7.56
318.4,3.04,8.29
374.5,2.69,247.07
194.47,2.77,9.95
192.08,2.73,736.0
821.91,2.58,56.04
277.75,3.13,8.53
265.38,2.87,27.9
915.77,2.94,11.77
409.21,3.29,36.35
811.89,2.8,7.17
238.93,2.96,6.67
276.45,3.21,8.9
265.23,2.74,35.4
179.44,2.78,43.33
149.68,2.91,7.96
130.45,3.08,25.32
386.26,2.82,10.3
427.32,2.72,20.65
241.06,2.65,16.45
153.28,3.0,9.54
823.26,2.56,9.23
112.44,3.03,8.91
314.67,2.76,24.71
196.78,3.05,11.75
192.4,2.87,11.3
179.16,3.17,7.04
255.32,3.06,10.86
996.22,3.27,10.89
443.78,3.09,14.05
262.87,3.58,38.62
260.54,3.08,14.27
241.72,2.73,41.15
360.6,2.75,11.48
336.31,2.6,8.42
245.32,2.73,9.4
253.36,2.85,8.14
321.7,2.58,7.84
300.99,3.06,7.11
179.95,2.62,13.69
172.13,2.86,26.08
385.37,2.78,7.96
410.51,2.54,21.37
645.17,2.66,37.43
966.79,2.74,7.36
195.43,2.96,8.35
203.45,2.85,7.72
732.22,3.13,28.48
203.09,2.69,8.69
144.87,3.14,9.02
405.34,2.84,12.36
433.51,2.94,6.75
265.32,2.75,12.97
331.75,3.14,8.78
242.55,2.89,10.36
252.09,2.71,23.03
298.24,2.81,11.55
247.54,2.79,21.59
724.79,3.13,7.75
534.86,3.41,10.62
283.51,2.58,13.46
268.92,2.87,14.09
336.17,2.95,13.12
149.61,3.03,10.11
169.33,3.18,7.74
290.42,2.75,37.32
263.42,3.01,7.39
364.48,2.67,8.5
298.95,2.85,55.75
313.17,2.84,39.48
714.18,3.33,7.19
645.21,2.86,13.49
248.73,2.95,47.69
177.07,2.91,39.5
344.06,2.79,32.25
234.93,2.67,23.72
285.5,2.86,7.0
995.03,3.14,7.48
666.54,2.94,10.05
210.02,3.02,14.06
773.6,3.09,173.79
356.77,3.0,8.19
221.99,2.96,25.98
310.15,2.81,8.18
210.15,2.81,6.72
293.39,2.94,8.31
167.74,2.51,7.55
655.11,3.05,9.55
359.79,3.17,8.4
333.13,3.02,6.94
291.52,2.73,8.64
575.14,2.63,27.63
234.21,2.76,8.2
297.96,2.87,8.0
198.7,3.07,6.94
769.96,3.01,7.25
881.2,2.73,41.65
259.35,2.8,11.42
212.96,2.67,11.17
232.94,2.99,7.41
179.96,2.95,12.37
259.49,2.78,13.25
231.45,2.93,7.62
330.23,3.04,42.45
772.04,3.26,11.06
123.7,2.91,8.1
123.34,2.98,8.74
488.45,3.14,11.67
577.94,2.81,7.98
275.23,2.79,26.19
253.02,2.76,38.93
274.9,3.02,12.21
224.07,3.12,11.14
270.34,3.02,8.65
369.52,2.98,7.49
176.51,2.84,9.33
452.02,3.22,11.12
140.7,3.09,9.17
151.97,2.78,8.14
470.73,2.9,7.66
685.79,2.92,7.71
558.88,3.04,22.61
921.42,3.35,10.19
1000.18,2.88,9.79
313.44,3.16,10.94
609.2,2.8,12.12
296.53,3.21,9.99
206.45,2.8,11.26
310.71,2.69,29.44
403.08,2.99,8.15
295.73,2.88,6.76
226.9,2.78,8.95
474.74,3.02,7.39
244.41,3.06,12.25
147.18,2.9,8.13
254.57,2.94,10.62
223.93,2.7,8.15
408.65,3.18,8.75
216.48,2.65,42.4
142.67,3.0,38.96
186.81,2.8,22.29
281.96,2.69,7.82
281.96,2.93,14.94
328.13,2.83,7.38
361.43,2.92,10.61
729.12,2.83,45.46
135.09,2.84,8.22
262.6,2.55,34.44
476.0,2.99,40.29
846.59,3.15,12.64
143.77,2.77,7.47
334.6,3.01,26.74
140.08,2.85,8.11
124.07,2.76,11.65
819.0,3.02,11.39
306.64,3.01,25.64
420.98,2.83,8.51
364.54,2.92,11.3
314.26,3.08,26.13
465.21,2.66,8.96
545.69,2.8,8.66
354.16,3.03,13.24
978.71,2.92,8.15
224.87,2.96,10.52
150.78,3.43,9.16
235.54,3.02,7.84
226.55,2.6,22.12
111.21,2.67,17.58
412.09,2.71,7.12
733.01,2.95,7.73
878.36,2.82,8.15
149.49,2.89,7.15
413.45,3.02,7.92
291.34,2.9,9.02
415.0,3.06,7.55
294.43,2.63,8.9
116.36,2.5,8.67
306.16,3.04,37.94
449.15,3.09,9.23
216.41,2.99,8.45
328.53,3.11,10.5
344.18,2.91,31.02
245.73,2.97,7.65
345.26,2.84,7.97
203.76,2.73,29.08
124.88,2.73,20.87
235.72,2.73,10.56
238.65,2.8,8.37
191.05,2.98,43.13
106.68,2.79,36.2
231.68,2.88,7.6
810.96,2.86,15.0
225.97,3.07,6.8
182.73,2.73,8.23
148.66,2.78,7.8
299.15,2.7,10.16
299.07,2.88,33.02
272.33,2.62,7.37
138.62,2.81,8.94
317.61,2.83,8.56
884.7,2.95,8.09
293.94,2.6,38.66
308.81,3.11,9.04
149.28,2.8,8.16
188.44,2.76,7.59
329.81,2.69,29.11
188.97,2.85,10.63
364.63,2.94,8.68
285.92,2.64,11.43
253.4,3.12,12.06
136.63,2.78,10.42
402.14,3.0,10.78
267.91,3.0,44.54
168.61,3.14,7.41
253.99,2.67,12.58
236.2,3.0,7.68
958.58,2.63,30.64
271.61,2.95,9.53
733.0,2.93,13.61
143.01,2.9,14.37
218.88,2.85,39.01
209.23,3.01,39.51
291.81,2.94,11.24
337.55,3.24,43.71
150.4,3.17,10.81
141.42,2.51,29.33
207.13,2.56,8.9
672.56,2.6,9.85
162.46,3.06,11.58
332.66,2.94,7.37
279.53,3.27,13.22
283.99,2.86,8.83
228.91,3.42,7.44
488.73,2.84,15.11
267.79,2.97,20.56
169.64,2.69,32.11
301.74,3.1,39.78
184.59,2.96,11.09
318.74,2.82,14.59
216.22,2.82,12.26
410.17,2.63,8.08
273.98,3.04,12.04
830.02,2.75,6.45
271.58,2.86,8.1
181.44,2.97,17.7
131.92,2.88,8.53
137.81,3.1,8.04
310.31,2.81,12.12
293.38,3.03,11.94
420.98,2.86,9.35
129.67,2.7,8.87
391.51,2.74,8.75
942.88,3.11,14.08
316.34,2.96,17.53
203.27,2.77,10.31
199.82,2.79,12.81
278.29,3.31,7.85
407.42,2.59,36.14
192.36,3.1,7.9
254.64,2.77,30.6
294.49,3.01,7.47
119.66,2.73,13.55
151.98,2.88,9.13
319.93,3.17,12.19
573.59,3.13,13.06
145.02,2.78,31.36
218.04,2.95,12.92
439.81,3.11,45.09
107.76,2.78,13.22
286.1,3.41,8.67
97.58,2.51,7.37
307.08,2.86,7.75
317.47,3.09,8.64
257.11,2.95,7.04
425.48,2.93,6.97
127.87,2.72,9.43
167.29,2.97,7.4
218.15,2.93,10.81
596.73,3.2,12.42
236.22,2.86,14.13
144.76,2.83,39.22
154.49,2.69,6.9
247.51,2.65,8.39
256.4,2.86,7.0
271.19,3.16,28.92
277.75,2.9,11.15
193.92,2.81,8.56
141.01,2.71,7.19
234.6,2.53,34.17
155.82,2.73,7.47
342.12,2.79,10.29
301.98,2.79,9.36
203.07,3.0,7.73
544.71,2.75,7.29
192.64,2.76,28.36
153.19,2.57,32.66
245.4,3.02,11.19
725.49,3.0,42.9
350.65,2.74,9.14
417.92,2.95,10.29
210.02,3.03,8.26
261.66,3.09,12.9
221.37,2.86,10.98
168.01,2.71,7.73
196.7,2.84,7.68
360.81,2.81,8.14
148.28,3.08,12.23
247.42,2.81,8.29
207.93,3.1,36.43
191.24,2.64,7.1
950.82,2.85,28.98
155.02,3.1,24.73
229.33,2.96,10.75
255.77,3.33,7.44
113.21,2.76,10.78
411.12,3.11,7.15
863.31,2.69,36.61
797.69,2.88,7.83
470.37,2.91,11.73
225.17,3.16,48.21
178.0,2.91,7.72
172.09,2.98,27.06
205.91,3.1,8.88
161.65,2.63,22.82
267.39,2.91,7.49
306.45,2.73,15.52
295.66,3.13,30.57
118.3,2.81,7.4
136.04,2.8,24.98
241.44,2.73,14.92
595.37,2.78,7.96
283.96,3.04,9.45
370.51,2.88,8.16
346.56,2.81,8.88
501.43,2.84,24.27
471.36,2.75,10.61
174.8,2.64,11.08
257.82,3.18,40.36
146.68,2.58,31.14
299.27,2.83,9.79
267.08,3.08,8.28
159.9,2.92,11.35
130.61,3.0,26.03
249.01,2.88,24.28
267.57,3.09,37.15
170.82,3.28,35.33
303.23,3.39,13.49
992.39,2.9,7.16
134.49,2.66,33.61
178.14,2.89,8.49
187.68,2.81,25.58
140.83,2.96,11.26
138.57,3.27,11.08
161.87,2.97,46.86
147.49,3.13,7.87
257.28,3.04,11.1
327.21,3.09,741.11
330.89,2.98,9.1
368.86,2.88,7.78
260.53,2.6,23.67
317.02,3.16,50.44
240.64,2.94,9.03
146.43,2.6,25.88
304.67,2.69,47.9
138.69,2.91,7.49
166.9,2.86,34.81
307.95,2.63,46.61
128.18,3.06,7.87
188.02,2.59,38.53
286.05,2.79,12.09
282.1,2.91,22.92
216.75,3.15,13.22
178.11,3.14,11.35
259.06,2.74,20.98
311.91,3.38,11.03
231.64,2.51,23.16
342.69,2.87,7.57
377.5,2.77,9.23
198.23,2.9,38.27
294.74,2.8,9.28
340.68,3.12,7.7
247.09,2.94,11.69
486.16,2.9,9.59
130.67,2.72,14.65
130.06,2.84,11.51
764.12,2.68,522.84
281.24,2.76,39.63
149.38,3.11,50.98
328.81,2.67,24.5
567.47,2.8,34.94
55.11,3.18,10.22
123.62,2.94,12.34
271.6,2.74,29.84
163.24,3.06,50.13
4.91,3.23,7.23
149.32,2.67,21.69
274.37,3.1,11.59
156.1,2.91,27.34
687.17,2.93,6.82
141.5,2.76,13.64
121.45,3.2,13.1
149.92,2.76,9.73
92.96,2.73,13.38
334.24,2.73,77.75
275.6,2.8,28.84
228.06,3.03,13.03
253.83,3.11,12.12
242.16,2.52,10.29
174.54,2.63,8.81
166.09,3.22,9.65
244.03,2.84,34.94
469.92,3.04,46.06
158.97,2.85,14.99
311.8,2.59,24.2
151.75,3.0,33.4
107.6,3.15,142.68
404.41,2.98,11.97
132.37,2.97,10.3
256.56,2.79,125.91
164.22,2.63,10.1
418.89,3.02,11.56
285.75,3.38,9.58
251.0,3.31,10.07
124.84,2.81,29.16
144.62,2.74,9.91
108.32,2.56,10.54
132.06,2.88,9.26
135.07,3.18,14.17
272.7,2.9,9.45
138.93,2.8,9.61
141.51,2.81,23.52
299.85,2.55,42.47
282.41,2.77,26.09
136.34,3.11,8.77
276.2,2.94,11.53
118.1,2.72,12.64
216.77,2.68,26.22
230.15,2.9,42.47
231.62,2.64,10.27
262.34,3.09,27.66
143.25,2.83,10.83
264.7,3.07,14.7
637.67,2.99,11.78
613.13,3.17,38.96
299.59,3.01,27.1
355.79,2.74,61.77
151.4,2.85,10.65
261.13,3.06,40.3
411.43,3.69,8.4
140.1,2.67,14.01
377.91,2.77,30.83
13.56,2.81,9.36
215.16,3.04,37.18
86.29,3.34,8.55
165.65,2.78,11.05
319.14,2.8,9.94
266.51,3.13,6.2
662.25,2.87,35.53
230.19,2.82,10.55
179.42,2.75,30.75
158.37,3.04,11.82
235.22,2.94,10.57
669.82,3.13,15.52
170.67,3.1,47.78
194.57,2.84,11.15
160.45,2.75,10.25
223.09,2.69,10.64
139.31,2.86,6.84
140.38,2.87,32.07
113.62,2.7,7.64
438.12,2.68,10.04
292.43,2.86,24.13
166.57,2.68,119.98
251.88,2.78,7.43
291.01,3.18,31.83
198.47,3.03,39.51
370.48,2.62,24.0
233.99,2.9,10.66
276.09,2.82,8.9
124.19,2.79,10.72
605.67,3.04,12.85
255.08,2.88,33.62
809.33,2.98,11.51
307.0,3.11,9.08
242.56,2.62,24.97
292.09,3.04,28.44
259.25,2.96,84.75
235.65,2.87,9.74
156.75,2.91,28.08
259.66,2.62,8.12
124.42,2.88,6.59
257.42,2.79,12.38
157.62,3.07,33.42
284.66,2.89,15.0
407.8,3.28,12.31
131.3,2.78,12.09
316.63,2.78,928.8
289.51,3.36,384.02
173.3,2.99,28.8
156.01,3.3,11.32
213.29,2.95,8.04
477.18,3.06,39.7
352.91,2.67,67.29
189.88,3.15,8.02
246.63,2.88,12.86
242.56,2.86,27.84
222.76,3.08,7.22
157.0,2.86,12.08
170.85,2.81,13.09
362.21,2.65,25.42
120.05,2.99,40.0
262.68,2.94,32.76
231.56,2.88,8.92
741.26,2.73,26.76
343.5,2.6,8.72
351.79,3.03,35.12
153.23,3.06,26.16
105.7,2.75,9.56
734.98,3.51,11.53
652.47,2.86,8.47
192.12,2.76,27.29
975.99,3.09,9.89
245.98,2.62,22.03
450.56,3.12,32.16
198.95,2.85,10.66
161.18,3.38,24.36
141.4,2.84,9.9
155.0,2.74,13.33
250.89,2.74,8.13
244.65,3.01,8.83
318.39,2.81,9.8
151.28,2.97,8.54
230.95,2.65,10.43
115.41,2.81,50.62
107.11,2.97,46.84
245.84,2.73,34.66
156.82,2.73,43.52
110.34,3.07,22.55
129.31,3.37,12.16
418.09,3.07,31.5
153.01,2.79,37.82
116.95,2.66,12.0
194.44,2.94,22.76
238.8,3.03,35.23
456.69,2.99,12.91
668.56,2.94,13.7
278.66,2.79,9.22
262.99,2.76,44.52
291.61,2.76,11.92
142.48,2.8,35.06
159.92,2.75,24.43
157.42,2.98,11.64
221.33,2.76,11.05
546.54,2.72,27.16
128.09,2.81,7.76
246.18,2.57,10.45
276.16,2.77,20.82
139.48,3.0,15.51
207.51,2.8,29.11
147.7,2.73,18.83
130.44,3.07,15.75
121.52,2.67,29.14
863.02,2.57,34.21
659.48,2.9,12.2
140.14,2.84,56.51
218.17,3.46,8.85
132.01,2.75,9.67
118.73,2.66,137.85
129.81,3.08,12.38
307.39,2.71,10.82
136.8,2.95,9.83
210.0,3.88,38.58
133.62,2.82,13.45
191.58,2.82,28.63
151.82,2.71,35.65
255.66,3.13,13.31
318.5,2.86,39.41
329.58,3.09,21.71
392.03,3.07,13.4
169.03,2.69,9.56
301.43,2.6,14.36
283.96,2.88,12.05
834.45,2.74,21.34
288.52,2.75,13.99
395.41,3.01,16.51
128.29,2.81,47.47
176.73,2.74,36.5
368.72,3.36,9.06
254.82,2.77,31.07
150.25,2.71,37.39
153.81,3.37,26.36
143.66,2.93,14.69
352.63,3.15,10.77
264.82,2.6,42.59
245.64,2.74,10.7
726.96,2.92,7.03
4.24,2.73,39.79
359.14,2.77,27.5
136.24,3.42,44.54
177.81,2.86,15.77
933.34,3.3,32.34
8.66,2.92,28.33
245.13,2.81,10.22
180.13,2.62,29.49
256.85,2.84,11.42
160.7,3.19,58.2
205.8,2.6,8.28
256.18,2.93,14.8
132.11,3.02,28.78
307.57,3.34,13.97
840.02,3.0,667.29
278.22,2.85,11.45
129.57,2.82,33.45
122.85,2.88,29.67
171.47,2.87,19.75
112.69,3.05,14.11
276.32,2.83,7.6
174.09,2.93,13.73
169.95,2.92,13.93
665.49,2.91,9.85
199.94,3.16,10.84
369.8,2.79,31.28
138.11,3.26,11.64
282.49,3.17,9.63
304.62,2.83,29.56
318.04,2.98,30.3
134.15,3.08,11.41
282.43,2.83,14.27
431.9,2.81,26.73
690.01,2.6,12.71
305.52,2.69,8.53
140.43,2.86,10.76
188.38,2.64,44.48
317.38,2.98,12.24
139.82,3.26,12.57
295.91,2.99,11.43
294.29,3.02,27.62
349.76,3.03,9.77
360.86,3.04,8.05
175.97,2.59,38.95
280.76,2.84,11.82
261.74,2.72,10.53
209.86,2.96,13.98
287.65,3.25,12.57
248.84,2.77,31.87
263.71,2.7,24.89
278.42,3.44,12.68
593.88,2.87,11.52
309.98,2.84,6.85
231.48,2.83,50.53
951.54,2.97,17.48
152.42,2.88,55.48
229.98,2.72,22.11
267.25,3.24,8.71
643.99,2.62,25.42
296.68,2.82,19.6
274.63,3.2,9.39
155.68,2.72,39.2
391.01,2.93,8.39
153.55,3.12,13.78
132.76,2.88,25.2
139.26,2.98,7.89
131.33,3.0,31.0
278.2,2.73,9.45
254.56,3.04,14.66
635.13,2.98,10.62
156.68,2.82,9.65
280.13,2.99,6.82
293.79,3.21,32.88
247.01,2.96,15.0
137.41,2.88,15.86
344.6,2.84,14.22
256.84,3.02,46.72
145.62,2.88,8.04
250.23,2.84,23.98
5.87,2.83,8.67
139.75,2.76,11.19
142.2,2.75,41.13
169.23,2.83,13.83
127.91,2.86,42.86
297.25,3.08,8.2
365.26,2.93,29.13
305.54,2.81,7.96
247.34,2.94,13.4
220.82,3.12,27.31
866.93,3.23,7.58
255.28,2.83,13.89
203.74,3.24,16.69
140.74,2.74,11.75
134.9,3.06,45.14
708.41,2.93,11.54
154.51,2.77,7.87
137.81,2.89,13.66
196.64,2.87,30.3
111.7,2.76,53.02
207.56,2.86,31.25
242.43,3.19,31.55
175.46,2.76,12.76
207.0,2.84,39.97
124.98,2.57,10.4
299.14,3.07,8.09
314.29,2.86,21.44
257.81,3.22,10.69
286.55,3.2,9.19
705.6,2.91,26.22
284.39,2.88,29.71
124.33,3.55,32.8
172.92,2.8,21.31
282.16,2.76,8.25
150.39,3.25,7.0
118.26,2.77,15.03
246.91,2.81,10.77
320.26,3.14,11.43
308.32,2.73,26.91
451.48,2.6,12.92
356.6,2.61,10.01
364.13,2.99,764.6
315.26,3.34,12.13
265.11,3.07,27.43
165.24,2.76,23.49
243.77,3.18,9.9
254.17,2.69,8.74
130.3,2.93,9.26
242.88,2.69,7.24
265.86,2.82,28.27
324.55,2.88,9.87
152.85,3.3,17.39
137.57,3.18,10.3
1000.27,3.11,10.82
128.97,2.85,7.04
170.19,2.62,18.71
192.68,3.02,14.21
118.88,2.96,13.19
233.14,3.2,11.95
541.4,3.16,28.77
249.99,2.7,21.9
172.29,3.13,28.75
330.88,2.62,36.03
159.13,2.99,10.15
186.5,2.8,27.2
182.23,2.97,8.26
246.77,3.35,14.51
267.57,2.68,10.01
126.2,2.93,10.61
218.31,3.63,12.91
162.1,2.98,23.03
282.01,3.07,11.24
209.79,3.2,8.94
286.48,3.42,13.01
259.01,3.04,33.78
149.93,2.92,10.94
324.67,3.12,13.92
166.0,2.74,7.77
286.72,2.69,7.32
793.56,2.99,9.49
284.84,2.78,45.17
281.47,2.96,13.48
183.05,3.14,11.21
237.65,2.86,10.68
247.75,2.78,11.1
444.46,2.88,11.9
151.64,3.12,23.97
228.67,2.77,9.3
119.38,2.72,14.83
170.12,2.53,8.52
181.84,3.3,8.0
189.59,2.9,11.89
248.92,3.14,38.55
101.57,2.81,39.94
319.22,2.74,7.21
982.02,2.93,11.5
147.84,3.34,11.6
590.38,3.12,8.53
276.04,2.63,8.43
673.01,2.82,41.38
218.98,2.79,10.68
149.64,2.71,15.98
329.73,2.63,9.98
204.34,2.77,27.7
260.38,2.51,32.63
164.5,3.42,36.46
151.55,2.9,9.11
308.6,2.93,24.27
263.2,2.85,11.89
244.26,2.66,10.79
223.06,2.88,28.62
258.92,2.95,10.33
186.47,3.17,12.62
170.22,2.75,13.47
146.75,2.89,11.73
343.64,2.87,11.92
308.43,2.97,37.97
146.5,2.76,27.76
119.47,2.81,30.14
218.73,2.83,8.12
130.34,3.24,11.63
99.94,3.11,11.44
164.74,3.68,25.63
319.8,3.13,8.19
155.51,3.04,34.47
102.07,2.96,25.32
115.86,2.82,50.12
137.55,3.03,28.54
66.37,3.4,7.08
89.38,3.11,25.1
109.9,2.74,7.07
124.46,3.09,31.29
89.32,3.11,16.1
186.39,3.27,14.76
77.43,2.78,36.4
87.02,3.13,37.36
241.84,2.69,9.81
876.51,3.33,31.96
602.02,3.01,31.46
276.53,3.18,10.53
92.33,3.11,37.47
101.16,3.45,37.73
121.25,3.38,7.34
140.97,2.8,42.06
92.6,3.28,7.59
108.88,3.47,7.82
119.87,2.81,10.35
139.4,2.82,37.11
130.82,2.94,7.64
141.21,2.83,12.53
124.23,3.03,10.68
319.7,2.69,12.44
118.43,3.23,969.64
5.07,3.07,7.71
216.75,2.88,27.5
125.6,3.04,12.68
120.98,3.14,7.34
117.38,3.2,42.31
106.99,2.85,31.46
250.3,3.35,6.57
67.38,2.99,47.9
202.83,2.83,17.94
70.08,2.93,19.22
89.77,2.87,26.18
95.95,3.2,15.93
702.93,3.16,38.68
96.18,3.26,27.05
124.05,3.24,34.6
103.89,3.36,17.49
117.27,3.14,9.67
105.97,3.4,9.05
128.33,2.89,30.8
807.67,3.03,24.27
11.41,3.07,10.43
84.69,3.03,7.94
96.77,3.54,960.79
112.4,2.99,24.24
54.09,3.11,38.23
744.59,3.33,41.75
105.68,3.0,38.49
102.94,3.63,9.85
68.33,2.91,37.01
110.85,2.57,25.59
241.07,2.88,10.58
375.68,2.84,35.07
246.07,2.86,21.46
345.51,3.12,7.42
119.5,3.11,770.23
108.63,2.95,8.17
100.69,3.15,23.09
151.22,3.76,30.67
4.44,3.51,30.5
105.51,3.06,26.7
77.25,3.4,30.86
6.21,3.0,30.67
116.02,2.82,28.28
178.33,3.46,26.87
109.41,3.39,8.62
165.56,2.98,6.51
96.59,3.55,9.8
107.99,2.86,28.25
114.93,3.21,36.42
104.98,3.15,28.14
109.72,3.06,32.93
156.16,2.97,27.02
107.55,3.4,21.9
118.54,2.99,9.74
92.55,3.1,55.96
333.55,2.8,57.19
130.81,3.45,727.62
111.29,3.18,7.54
248.28,3.51,49.5
109.36,3.15,9.59
97.39,3.02,7.86
4.96,3.08,10.81
131.49,3.11,10.04
93.67,2.85,24.16
135.9,2.9,32.33
7.22,2.79,37.7
246.57,3.13,37.49
484.29,3.46,15.58
207.45,3.03,10.12
102.48,3.21,35.06
108.19,3.21,33.24
223.82,3.07,10.46
123.18,3.09,8.53
158.85,3.49,10.79
348.73,3.06,9.5
170.79,2.85,30.72
93.92,3.21,11.99
97.88,3.2,24.33
127.52,2.75,7.97
4.9,2.69,26.19
140.12,3.08,10.25
119.12,3.03,32.62
110.61,3.17,9.5
157.64,3.23,29.28
276.65,2.91,33.68
266.39,3.05,567.91
6.89,3.12,8.89
118.0,2.93,58.14
73.92,3.23,26.43
144.48,3.19,9.7
130.04,3.1,22.72
313.68,3.76,8.06
100.26,3.05,8.52
130.53,2.91,278.72
208.07,3.02,771.91
101.36,2.9,24.86
118.03,2.9,31.98
130.02,3.3,10.38
295.76,3.2,11.65
250.85,2.97,7.48
123.17,2.79,681.83
114.36,3.03,23.28
219.56,3.07,36.51
195.51,3.23,11.77
229.64,2.75,12.6
103.18,3.13,10.65
95.79,2.93,10.54
137.77,2.91,10.88
258.82,3.18,41.8
135.96,3.36,36.04
36.13,3.14,31.77
108.89,3.02,27.32
162.96,3.05,10.26
4.32,3.0,33.4
123.71,2.98,29.53
201.03,2.86,7.17
99.76,3.09,7.14
91.27,3.15,27.04
101.8,3.07,32.01
145.86,3.29,7.83
149.9,3.11,9.7
100.57,3.13,9.35
4.54,2.8,24.01
111.55,2.9,9.02
92.51,2.79,37.82
199.13,3.07,34.11
141.82,2.74,10.25
10.31,2.98,29.79
132.4,2.97,23.98
78.75,2.94,28.69
239.15,2.92,29.73
113.24,2.61,29.12
118.5,2.84,8.07
219.02,3.45,39.67
90.51,2.89,590.29
