ideal,simple_cnga,full_cnga
1.2662087954488733e-6,1.0974815339524777e-6,1.114588845439853e-6
1.1573975667272684e-6,1.073439969052215e-6,1.082182504805138e-6
1.325769575415908e-6,1.0024656925338717e-6,1.0328841828034733e-6
1.3294317725836893e-6,9.88124663827117e-7,1.0198989836988233e-6
1.1884217114112531e-6,1.0893509964916908e-6,1.099627774448789e-6
1.2345956586155119e-6,1.1022540050921497e-6,1.11584665709933e-6
1.3035319545930132e-6,1.060415384954459e-6,1.0842831243038296e-6
1.2985084480509917e-6,1.0686348339921846e-6,1.0913444711543592e-6
1.328701153105928e-6,9.911305527214518e-7,1.022627090513891e-6
1.2918132948587462e-6,1.0776599804083389e-6,1.0989684630287488e-6
1.4071222672264607e-8,1.051441297752838e-8,1.0846679168754796e-8
7.0759018407099595e-9,6.907211259667101e-9,6.925521505370727e-9
1.077795094703407e-8,1.0284799124191007e-8,1.0336829430439552e-8
8.36412435581659e-11,8.046421651907685e-11,8.120155740206745e-11
1.3692575957637668e-8,1.1408267967816434e-8,1.1635423219761392e-8
1.365595433318728e-8,1.1451090889937477e-8,1.1671109124727e-8
1.4088867895351973e-8,1.044095055467927e-8,1.0780065542280563e-8
1.3505423034393265e-8,1.1579512048409281e-8,1.1773975338482972e-8
1.2528803358967419e-8,1.1514560951661568e-8,1.1619737267049177e-8
1.384863716323223e-8,1.1158959471485074e-8,1.1421846685172399e-8
1.2883914664184678e-8,1.1646215240824102e-8,1.1774145977582441e-8
1.399139507535468e-8,1.0798375894933013e-8,1.1102579610242061e-8
1.1735943358630382e-8,1.1032409235519022e-8,1.1106202182298085e-8
9.696189287801111e-9,9.346963232133658e-9,9.38366641922902e-9
1.411310401014673e-8,1.033332084690736e-8,1.0681999953356421e-8
5.802529138538167e-9,5.683262478283113e-9,5.6960373978234145e-9
1.3856441665794818e-8,1.1143162110390101e-8,1.1407846913368357e-8
1.3961004526777087e-8,1.0888866890022994e-8,1.1183380790955877e-8
1.3871792666756832e-8,1.1110825807682055e-8,1.1379671986855762e-8
1.3810294623406567e-8,1.1232127887168702e-8,1.148513113410678e-8
1.727789402231782e-8,1.4159757203534056e-8,1.4467285946991475e-8
1.6886835817182664e-8,1.4553501762265871e-8,1.4789415603175731e-8
1.769417631611949e-8,1.2988865874766842e-8,1.342356798059104e-8
1.734480058307704e-8,1.4042393959493917e-8,1.4365872115401734e-8
1.736697883013558e-8,1.3999253388596736e-8,1.4328260626270649e-8
1.713352404333221e-8,1.4354682282286155e-8,1.4631800996273673e-8
9.76712980447106e-9,9.511720101918235e-9,9.538571978405298e-9
1.3888417650378852e-8,1.3203367852360666e-8,1.3275141098707317e-8
1.7479122409198917e-8,1.3740470427799827e-8,1.4100613636958212e-8
1.7099490969833707e-8,1.4390959844288908e-8,1.466163689723131e-8
1.7668216974590043e-8,1.310278676313284e-8,1.3527342277165943e-8
1.6957620938943662e-8,1.4510089019716613e-8,1.475682510532269e-8
1.7486477428069605e-8,1.3720816348782294e-8,1.4083107286919815e-8
7.198164696370735e-9,7.051017943100675e-9,7.067691313189799e-9
1.4584431620800491e-8,1.3739690899345338e-8,1.3827603998392127e-8
1.399151477179374e-8,1.3285914685160333e-8,1.3360275051189249e-8
1.7586847901357003e-8,1.3414816679837179e-8,1.3809498071196793e-8
1.579637461720858e-8,1.4479021225581423e-8,1.4615621688141913e-8
1.691594476392343e-8,1.4536864462602329e-8,1.477723579588135e-8
1.5386359366715514e-8,1.4269774111783706e-8,1.4385804985637903e-8
8.055299614339528e-6,6.686863681794122e-6,6.82261430259624e-6
7.570415391286931e-6,6.839015068176812e-6,6.914458548106493e-6
7.925756079422879e-6,6.805492917475724e-6,6.918529344893395e-6
8.105525142874665e-6,6.612163755422105e-6,6.758929574721233e-6
8.094578572725156e-6,6.63017938472068e-6,6.774417431308038e-6
7.630498042908062e-6,6.8515686977651215e-6,6.931724964818414e-6
8.302201746705004e-6,6.028690126115e-6,6.237171551884604e-6
5.374446091217445e-6,5.1982618694446266e-6,5.2167937123390646e-6
7.297579466700362e-6,6.7304438642953475e-6,6.7893772870182926e-6
7.929840104538856e-6,6.803019681707488e-6,6.916669825837431e-6
7.697436078333145e-6,6.8588009810224865e-6,6.944833666608902e-6
6.507389104044132e-6,6.18414725310843e-6,6.218023284547494e-6
6.668436867009448e-6,6.3109653305459284e-6,6.348391196521999e-6
8.298640063027032e-6,6.045671214362547e-6,6.25269471511261e-6
8.286974352913888e-6,6.0989729352464e-6,6.301322991633099e-6
8.185543071183587e-6,6.444031528823029e-6,6.611791033329593e-6
8.179439777836005e-6,6.459462785521265e-6,6.6254487627900215e-6
8.01930984902548e-6,6.7292100186919925e-6,6.857907405243727e-6
5.589739447966603e-6,5.393831866329157e-6,5.414428741640961e-6
7.303270650335706e-6,6.733368737075347e-6,6.792582680265116e-6
0.0012510275300130266,0.000947483801304383,0.000975823849467612
0.0012364045948452648,0.0009841422621408521,0.001008397258514542
0.001246443249716836,0.0009608910108949939,0.0009878375481945805
0.0012302368967325404,0.0009951124877660927,0.0010179265440146397
0.0011888286488193137,0.0010297761381957012,0.0010457733750308758
0.0011113590630401774,0.0010165017513146263,0.001026274832003073
0.0012448424513910818,0.0009651213308117225,0.0009916068996347624
0.0012218199251647053,0.0010069210147518354,0.0010279880388532046
0.0011499553898731828,0.0010301407394332275,0.0010423791293448926
0.0006816873847974811,0.0006627345616655352,0.000664726342090473
0.0012025062311172333,0.0010238507318347501,0.0010416669935594924
0.0011776588488223367,0.0010319672434118171,0.0010467016194139703
0.0012529489232334162,0.0009412372244819137,0.000970195358600286
0.0012599128763903617,0.0009149264457222903,0.0009463061667740601
0.0012263991139140915,0.001000906367764404,0.0010228946400535714
0.0007843363714824811,0.0007582005402293515,0.000760943183464881
0.00112190914509242,0.0010211654485822598,0.0010315248189748892
0.0012038770078869252,0.0010230190545969851,0.0010410370946939572
7.495694147783442e-5,7.404871134016298e-5,7.414454028019789e-5
0.0012535036968678705,0.0009393586131280294,0.000968499106547266
4.526939186983656e-5,4.032331511542233e-5,4.083019063058702e-5
4.647550331243733e-5,4.010017292617148e-5,4.0744298697090975e-5
4.8373023750635464e-5,3.73442174422623e-5,3.8393351543093345e-5
1.0754938114909233e-5,1.0589382479303925e-5,1.0606840147138408e-5
4.8638303989409245e-5,3.6437043660551876e-5,3.757674709560822e-5
4.414748732344458e-5,4.0092844114587875e-5,4.051156666161597e-5
4.7579785824656126e-5,3.907290714479176e-5,3.9911082384846766e-5
2.836788406920614e-5,2.7563478403869857e-5,2.7648128648676625e-5
4.870600404402117e-5,3.6168289191548356e-5,3.733305864395772e-5
1.0105028698221866e-5,9.952503517521213e-6,9.968590363559501e-6
3.953282811063949e-5,3.733888488930847e-5,3.7568342298070236e-5
4.6664561014387194e-5,3.9996837893765846e-5,4.0668368441676925e-5
4.524716330271447e-5,4.03220112290673e-5,4.082683870810359e-5
4.2811829634430424e-5,3.950702657374398e-5,3.985025726166878e-5
4.824743446985541e-5,3.770414104451996e-5,3.871433830955644e-5
3.933734515266137e-5,3.7190180054799454e-5,3.741480257757219e-5
4.498986587251369e-5,4.029602953872565e-5,4.077814790469153e-5
3.749139446900679e-5,3.572009770156106e-5,3.5905755975627146e-5
4.780196821800723e-5,3.870311756207529e-5,3.959270835278697e-5
4.815626432138434e-5,3.794151864062516e-5,3.892490318859378e-5
3.245238849764338e-6,2.389890904570498e-6,2.469048055250508e-6
3.2295676462974307e-6,2.4520956191996877e-6,2.525416833743775e-6
2.892419914814681e-6,2.65314029324751e-6,2.6779643235951163e-6
3.1280510057910566e-6,2.648464647014707e-6,2.696537378796807e-6
3.124796192931196e-6,2.651266963829829e-6,2.69878215204155e-6
3.1525555817378655e-6,2.6224331750546724e-6,2.6750938304359724e-6
3.219318557287801e-6,2.486070812853144e-6,2.5559298324919328e-6
3.232359755141697e-6,2.441983032495656e-6,2.516294519696281e-6
3.1959999720647225e-6,2.5479210661852166e-6,2.610821148853995e-6
3.1756658319501535e-6,2.5882056297060956e-6,2.645927843760804e-6
1.3471696813276938e-6,1.3194990094515214e-6,1.3224152913244171e-6
3.160878148361095e-6,2.6113290733158194e-6,2.6657220377673453e-6
3.1666283454270542e-6,2.60288242034024e-6,2.658530276416688e-6
3.113685614583912e-6,2.6598256309826988e-6,2.7055192279086594e-6
2.521908901763734e-6,2.400735496161686e-6,2.4134417870811603e-6
3.2398812785513716e-6,2.412708962764194e-6,2.4897937029507543e-6
2.7286392612514265e-6,2.5575932734300877e-6,2.5754583726121506e-6
2.620859436637462e-6,2.479105046882712e-6,2.493946884953533e-6
3.188580987987707e-6,2.5638957077451843e-6,2.6248193454141458e-6
2.9932043415476313e-6,2.6847959978108035e-6,2.7165268827726445e-6
5.907572634823497e-10,4.5990842571149313e-10,4.724024689814223e-10
5.954126444834195e-10,4.435338164479929e-10,4.5775023699162717e-10
5.927374990708277e-10,4.535952339059863e-10,4.667684184557991e-10
5.929997509638987e-10,4.5256774625854233e-10,4.659398969589248e-10
5.602917688296788e-10,4.93734565912123e-10,5.006923156670153e-10
5.962237605488721e-10,4.4047863055798203e-10,4.548627295055377e-10
5.865029974832556e-10,4.706138147975304e-10,4.818939514575696e-10
5.575833873963664e-10,4.939197767445981e-10,5.004797822553459e-10
5.838420705865281e-10,4.755260902454317e-10,4.861367674408904e-10
5.726616842265377e-10,4.886667387855954e-10,4.972058454197505e-10
5.230424233551062e-10,4.837749314154383e-10,4.87885845524321e-10
5.59454454484941e-10,4.939920822668753e-10,5.00463562979014e-10
5.935290648253733e-10,4.5085150338486185e-10,4.64281425395737e-10
5.74950179541036e-10,4.86933649847113e-10,4.957666859324397e-10
5.469778992784025e-10,4.93193076736431e-10,4.986742541739056e-10
5.797834174542783e-10,4.817426246306072e-10,4.915383948972982e-10
5.731756153381589e-10,4.884165710195008e-10,4.971052909793626e-10
5.929690903402092e-10,4.5305420675694074e-10,4.662650282724539e-10
5.923019406684498e-10,4.5534188233088335e-10,4.682703455008771e-10
5.245725858709827e-10,4.844637549727382e-10,4.886921592935269e-10
1.76691532933587e-8,1.3099153764525347e-8,1.3524011341099484e-8
1.6454646728174432e-8,1.4650483924596395e-8,1.48356786057548e-8
4.096747033435047e-9,4.032275338222302e-9,4.03856867951437e-9
1.7535510849805837e-8,1.3580774944487173e-8,1.3958401128640545e-8
1.747477693088726e-8,1.375200829303544e-8,1.411079089853638e-8
1.6857771379585706e-8,1.4568261668696545e-8,1.4800051729833227e-8
1.3335091868331211e-8,1.2746697622701617e-8,1.2808809813181902e-8
7.163840464875924e-9,7.018972518724068e-9,7.032618191645162e-9
1.7714805634398165e-8,1.2892765695553997e-8,1.3335827600578655e-8
1.7394434675082975e-8,1.3942354863864933e-8,1.427851728590193e-8
1.7692566883422517e-8,1.2995953204123918e-8,1.3430170319872478e-8
1.7164658227140602e-8,1.4318357832122046e-8,1.4601558959116541e-8
1.6791469261539083e-8,1.4597090576935153e-8,1.4819993234661052e-8
1.715480394505802e-8,1.4330132061903015e-8,1.4611487361087173e-8
1.5139504543984157e-9,1.4987839455201777e-9,1.5006900189344747e-9
1.64570830134839e-8,1.4650436934955712e-8,1.4835744225287951e-8
1.7408005890998147e-8,1.3912700905464157e-8,1.4252594937228858e-8
1.667546657573208e-8,1.4631189879593026e-8,1.483961265362488e-8
1.7175177081690733e-8,1.4305591851280064e-8,1.4590931717561413e-8
1.7660159951470348e-8,1.3136803931251331e-8,1.3558169939700941e-8
2.148685517442442e-9,1.9657619500725597e-9,1.9848120986138804e-9
1.824603478365477e-9,1.742260713536851e-9,1.7510291860123544e-9
2.232476422251686e-9,1.9858855577254706e-9,2.011052859588781e-9
2.3875879735957077e-9,1.804492413018348e-9,1.859284020448675e-9
1.1843436630971967e-9,1.1579472593504466e-9,1.1599529397254612e-9
2.187447695933327e-9,1.979085130033057e-9,2.0004693679251114e-9
2.375433548977798e-9,1.8450706874773172e-9,1.895803556171947e-9
2.372441879208967e-9,1.8534163091823846e-9,1.903238222356253e-9
1.8190780836837202e-9,1.7377637112709289e-9,1.7465178434411942e-9
2.357373740756051e-9,1.8906618571461427e-9,1.936090010284533e-9
2.3828459376694364e-9,1.8216461097162399e-9,1.8747716172147384e-9
1.9643921627998325e-10,1.9189289214652575e-10,1.9003805146677574e-10
2.350214602373952e-9,1.9049436647980396e-9,1.9486069976831004e-9
2.3297291315099488e-9,1.9369683942720684e-9,1.975898357115644e-9
2.0315517650914096e-9,1.9004513131598885e-9,1.914002548333508e-9
2.3789464482026156e-9,1.8343388635921453e-9,1.8862156276392583e-9
2.3976046736261344e-9,1.7636930272092899e-9,1.8224051760661295e-9
2.382772320755822e-9,1.821575713553785e-9,1.874826759188827e-9
1.621333499346569e-9,1.5645740736516778e-9,1.5715192244081534e-9
2.3926500394112697e-9,1.7848883821028933e-9,1.8416100927808838e-9
4.4614678552187487e-10,4.267077191706416e-10,4.287865198360472e-10
5.897658719155222e-10,4.624917383164873e-10,4.747739197938243e-10
5.856850647984002e-10,4.720654449320707e-10,4.832096997032628e-10
5.034289062316408e-10,4.711069937688094e-10,4.749022897293282e-10
5.738953378080692e-10,4.879737452397053e-10,4.96445208712872e-10
5.710710205028083e-10,4.900143463047034e-10,4.980327037479267e-10
5.906532030032351e-10,4.601325359409301e-10,4.726704652341279e-10
5.621441422879077e-10,4.93498435062486e-10,5.004330312986783e-10
5.657093614845244e-10,4.926203643120541e-10,4.998039497971165e-10
5.78524156903332e-10,4.833581385700224e-10,4.927976952775703e-10
5.758739442526499e-10,4.861537779939338e-10,4.951600986246555e-10
5.825360232446605e-10,4.776712082015299e-10,4.879907643871307e-10
5.302662611019854e-10,4.872734073495336e-10,4.918418985170014e-10
5.950917957008778e-10,4.4512715553416613e-10,4.5914791320412366e-10
4.85662457767453e-10,4.589371813970821e-10,4.6181738700836077e-10
5.030432359742819e-10,4.716082156464978e-10,4.748231191267223e-10
5.648926427687443e-10,4.928964989709797e-10,5.001578484872962e-10
5.851374790275054e-10,4.732990450367443e-10,4.843205537933893e-10
5.78749056533737e-10,4.830615479933996e-10,4.926535024426302e-10
5.787812042656864e-10,4.830473416454836e-10,4.925332220541382e-10
